,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
185,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,392,2044,1
3825,0,0,1,1,48,1,0,2,1,1,1,1,1,1,2,0,3,320,67,0
1807,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,2,1138,5822,1
1263,0,1,1,0,65,1,2,1,0,2,0,0,0,2,0,1,0,1389,5000,1
3732,0,0,1,1,16,1,2,0,2,0,2,2,2,0,2,1,0,1151,1282,0
3801,0,1,0,0,10,1,2,1,0,2,0,2,0,0,0,1,2,1308,918,1
4357,0,0,1,0,7,1,0,2,1,1,1,1,1,1,0,0,1,342,2868,0
6179,0,1,0,0,3,1,2,1,0,0,0,0,2,2,0,1,0,1495,6525,1
833,0,0,1,1,31,1,2,1,0,2,0,0,2,0,0,1,2,1373,2898,0
3328,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,1024,5506,0
101,0,0,1,1,1,1,0,2,1,1,1,1,1,1,0,0,2,322,1483,0
1090,0,0,0,0,47,1,2,1,2,2,2,0,2,2,1,0,0,141,4692,0
1744,0,0,1,0,36,1,0,1,2,2,2,0,2,2,1,1,0,83,3559,0
6486,0,0,1,0,45,1,2,0,0,0,2,2,2,0,0,0,0,980,3038,1
6370,0,0,0,0,40,1,2,1,0,2,0,0,2,0,0,1,1,1383,3434,1
3469,0,1,0,0,7,1,0,1,0,0,0,0,2,2,0,1,2,1427,733,0
1483,0,0,1,1,47,1,0,0,2,2,0,2,0,2,1,1,1,1014,3085,0
1158,0,0,1,0,57,1,2,1,2,2,0,0,0,2,0,1,1,1474,4545,0
7037,0,0,0,0,70,1,0,2,1,1,1,1,1,1,2,1,0,356,770,0
4645,0,0,1,0,27,1,2,1,0,2,2,0,2,2,0,1,2,82,2951,1
6112,0,1,1,1,63,1,2,1,0,2,2,0,2,2,1,1,2,92,5438,0
4395,0,0,1,1,66,1,2,1,0,2,2,0,2,2,0,1,2,73,5746,1
1345,0,0,1,0,53,1,2,1,0,0,2,0,2,2,1,1,1,15,4901,0
4343,0,1,0,0,71,1,2,1,0,0,0,0,0,0,0,1,2,1126,4954,1
6119,0,0,0,0,6,1,0,0,0,2,0,0,0,0,1,0,1,709,5652,0
